131    0.183803 5.266E-35 4.488E-12.05300.000 3986.08750.660.000000       X1/2   1       X1/2   1            3.0 QQ  3.5fe  4.0603010 4 4 2 0 1 0     7.0    9.0
131    0.184242 6.016E-26 1.240E-10.05300.000  429.28060.660.000000       X1/2   0       X1/2   0            4.0 QQ  3.5fe  4.0603010 4 4 2 0 1 0     9.0    9.0
131    0.184611 1.434E-33 1.227E-10.05300.000 3986.08670.660.000000       X1/2   1       X1/2   1            3.0 QQ  3.5fe  3.0603010 4 4 2 0 1 0     7.0    7.0
131    0.184741 3.635E-42 4.492E-12.05300.000 7377.49740.660.000000       X1/2   2       X1/2   2            3.0 QQ  3.5fe  4.0603010 4 4 2 0 1 0     7.0    9.0
131    0.185029 1.733E-27 3.587E-12.05300.000  429.27980.660.000000       X1/2   0       X1/2   0            4.0 QQ  3.5fe  3.0603010 4 4 2 0 1 0     9.0    7.0
131    0.185579 9.906E-41 1.230E-10.05300.000 7377.49650.660.000000       X1/2   2       X1/2   2            3.0 QQ  3.5fe  3.0603010 4 4 2 0 1 0     7.0    7.0
131    0.186000 3.573E-47 1.267E-10.05300.00010605.36490.660.000000       X1/2   3       X1/2   3                QQ  3.5fe     342010 5 2 2 0 1 0    16.0   16.0
131    0.186217 1.892E-33 1.271E-10.05300.000 3986.08750.660.000000       X1/2   1       X1/2   1            4.0 QQ  3.5fe  4.0603010 4 4 2 0 1 0     9.0    9.0
131    0.186245 3.714E-33 8.732E-11.08600.000 3649.20580.660.000000       X3/2   1       X3/2   1            2.0 QQ  2.5fe  3.0603010 4 4 2 0 1 0     5.0    7.0
131    0.186604 5.220E-32 1.230E-09.08600.000 3649.20540.660.000000       X3/2   1       X3/2   1            2.0 QQ  2.5fe  2.0603010 4 4 2 0 1 0     5.0    5.0
131    0.186735 7.467E-32 1.257E-09.08600.000 3649.20580.660.000000       X3/2   1       X3/2   1            3.0 QQ  2.5fe  3.0603010 4 4 2 0 1 0     7.0    7.0
131    0.187024 5.452E-35 3.677E-12.05300.000 3986.08670.660.000000       X1/2   1       X1/2   1            4.0 QQ  3.5fe  3.0603010 4 4 2 0 1 0     9.0    7.0
131    0.187094 3.748E-33 6.323E-11.08600.000 3649.20540.660.000000       X3/2   1       X3/2   1            3.0 QQ  2.5fe  2.0603010 4 4 2 0 1 0     7.0    5.0
131    0.187108 1.305E-40 1.270E-10.05300.000 7377.49740.660.000000       X1/2   2       X1/2   2            4.0 QQ  3.5fe  4.0603010 4 4 2 0 1 0     9.0    9.0
